verb,fps,sps,tps,fpp,spp,tpp,PP

anfangen,fange an,fängst an,fängt an,fangen an,fangt an,fangen an,angefangen
anrufen,rufe an,rufst an,ruft an,rufen an,ruft an,rufen an,angerufen

beginnen,beginne,beginnst,beginnt,beginnen,beginnt,beginnen,begonnen
bekommen,bekomme,bekommst,bekommt,bekommen,bekommt,bekommen,bekommen
bitten,bitte,bittest,bittet,bitten,bittet,bitten,gebeten
brechen,breche,brichst,bricht,brechen,brecht,brechen,gebrochen
bringen,bringe,bringst,bringt,bringen,bringet,bringen,gebracht

denken,denke,denkst,denkt,denken,denkt,denken,gedacht
dürfen,darf,darfst,darf,dürfen,dürft,dürfen,gedurft

einladen,lade ein,lädst ein,lädt ein,laden ein,ladet ein,laden ein,eingeladen
empfehlen,empfehle,empfiehlst,empfiehlt,empfehlen,empfehlt,empfehlen,empfohlen
essen,esse,isst,isst,essen,esst,essen,gegessen

fahren,fahre,fährst,fährt,fahren,fahrt,fahren,gefahren
fallen,falle,fällst,fällt,fallen,fallt,fallen,gefallen
finden,finde,findest,findet,finden,findet,finden,gefunden
fliegen,fliege,fliegst,fliegt,fliegen,fliegt,fliegen,geflogen
fressen,fresse,frisst,frisst,fressen,fresst,fressen,gefressen

geben,gebe,gibst,gibt,geben,gebt,geben,gegeben
gefallen,gefalle,gefällst,gefällt,gefallen,gefallt,gefallen,gefallen
gehen,gehe,gehst,geht,gehen,geht,gehen,gegangen

heissen,heisse,heisst,heisst,heissen,heisst,heissen,geheisst
helfen,helfe,hilfst,hilft,helfen,helft,helfen,geholfen
hängen,hänge,hängst,hängt,hängen,hängt,hängen,gehangen

kennen,kenne,kennst,kennt,kennen,kennt,kennen,gekannt
kommen,kommen,kommst,kommt,kommen,kommt,kommen,gekommen
können,kann,kannst,kann,können,könnt,können,gekonnt

laufen,laufe,läufst,läuft,laufen,lauft,laufen,gelaufen
lesen,lese,liest,liest,lesen,lest,lesen,gelesen
liegen,liege,liegst,liegt,liegen,liegt,liegen,gelegen

mögen,mag,magst,mag,mögen,mögt,mögen,gemocht
müssen,muss,musst,muss,müssen,müsst,müssen,gemusst

nehmen,nehme,nimmst,nimmt,nehmen,nehmt,nehmen,genommen

reisen,reise,reist,reist,reisen,reist,reisen,gereist
rufen,rufe,rufst,ruft,rufen,ruft,rufen,gerufen

schlafen,schlafe,schläfst,schläft,schlafen,schlaft,schlafen,geschlafen
schliessen,schliesse,schliesst,schliesst,schliessen,schliesst,schliessen,geschlossen
schneiden,schneide,schneidest,schneidet,schneiden,schneidet,schneiden,geschnitten
schreiben,schreibe,schreibst,schreibt,schreiben,schreibt,schreiben,geschrieben
schützen,schütze,schützt,schützt,schützen,schützt,schützen,geschützt
sehen,sehe,siehst,sieht,sehen,seht,sehen,gesehen
senden,sende,sendest,sendet,senden,sendet,senden,gesandt
singen,singe,singst,singt,singen,singt,singen,gesungen
sitzen,sitze,sitzt,sitzt,sitzen,sitzt,sitzen,gesessen
sprechen,spreche,sprichst,spricht,sprechen,sprecht,sprechen,gesprochen
springen,springe,springst,springt,springen,springt,springen,gesprungen
stehen,stehe,stehst,steht,stehen,steht,stehen,gestanden
stehlen,stehle,stiehlst,stiehlt,stehlen,stehlen,stehlen,gestohlen
steigen,steige,steigst,steigt,steigen,steigt,steigen,gestiegen
stossen,stosse,stösst,stösst,stossen,stosst,stossen,gestossen

treffen,treffe,triffst,trifft,treffen,trefft,treffen,getroffen
trinken,trinke,trinkst,trinkt,trinken,trinkt,trinken,getrunken
tun,tue,tust,tut,tun,tut,tun,getan

vergessen,vergesse,vergisst,vergisst,vergessen,vergesst,vergessen,vergessen
verlieren,verliere,verlierst,verliert,verlieren,verliert,verlieren,verloren

warten,warte,wartest,wartet,warten,wartet,warten,gewartet
waschen,wasche,wäschst,wäscht,waschen,wascht,waschen,gewaschen
werden,werde,wirst,wird,werden,werdet,werden,geworden
werfen,werfe,wirfst,wirft,werfen,werft,werfen,geworfen
wissen,weiss,weisst,weiss,wissen,wisst,wissen,gewusst
wollen,will,willst,will,wollen,wollt,wollen,gewollt
