verb,fps
anfangen,fing an
anrufen,rief an
ausgeben,gab aus
bleiben,blieb
brechen,brach
bringen,brachte
denken,dachte
einsteigen,stieg ein
essen,ass
fahren,fuhr
fallen,fiel
finden,fand
fliegen,flog
fressen,frass
geben,gab
gehen,ging
haben,hatte
heissen,hiess
helfen,half
kennen,kannte
kommen,kam
laufen,lief
lesen,las
liegen,lag
nehmen,nahm
nennen,nannte
rennen,rannte
schneiden,schnitt
schreiben,schrieb
sehen,sah
sein,war
senden,sandte
sprechen,sprach
stehen,stand
stehlen,stahl
tragen,trug
tun,tat
vergessen,vergass
verstehen,verstand
werden,wurde
wissen,wusste
